"#","City","Address","Latitude","Longitude"
1,"Milano","Corso Buenos Aires 33, 20124",45.479965,9.210675
2,"Roma","Via del Corso 118, 00187",41.9056,12.478553
3,"Torino","Via Giuseppe Garibaldi 34, 10122",45.07528,7.673742
4,"Firenze","Via dei Calzaiuoli 6, 50122",43.772278,11.255306
5,"Bologna","Via dellâ€™Indipendenza 52B, 40126",44.504055,11.345349
6,"Napoli","Via Toledo 156, 80134",40.841311,14.248789
7,"Verona","Via Giuseppe Mazzini 30, 37121",45.441011,10.995522
8,"Padova","Via San Fermo 48, 35137",45.411189,11.8751
9,"Bolzano","Via dei Portici 21, 39100",46.4996,11.3545
10,"Genova","Via XX Settembre 37, 16121",44.406947,8.935765
11,"Bergamo","Via XX Settembre 57, 24122",45.693194,9.667019
12,"Vicenza","Corso Andrea Palladio 147, 36100",45.548494,11.546742
13,"Treviso","Via Calmaggiore 48, 31100",45.66594,12.245126
14,"Trento","Via Rodolfo Belenzani 19, 38122",46.068429,11.121303
15,"Pisa","Corso Italia 105, 56125",43.712547,10.400047
16,"Bari","Via Sparano da Bari 70, 70121",41.123808,16.869622
17,"Palermo","Via Ruggero Settimo 55, 90139",38.122719,13.356964
18,"Catania","Via Etnea 251, 95125",37.511859,15.085057
19,"Trieste","Viale XX Settembre 33, 34126",45.652253,13.78119
20,"Parma","Strada della Repubblica 57, 43121",44.799906,10.335219
